First Avenue,L
Second Avenue,F
Third Avenue,L
Fifth Avenue / 53rd St,E/M
Fifth Avenue / 59th St,N/Q/R
Fifth Avenue,7 /<7>
Sixth Avenue,L
Seventh Avenue,B/D/E
Eighth Avenue,L
Eighth St – NYU,N/Q/R
14th St,F/M
14th St,A/C/E
14th St,1/2/03
14th St – Union Square,N/Q/R
14th St – Union Square,L
14th St – Union Square,4/5/6/<6>
18th St,1/2
23rd St,F/M
23rd St,A/C/E
23rd St,N/Q/R
23rd St,1/2
23rd St,4/6/<6>
28th St,N/Q/R
28th St,1/2
28th St,4/6/<6>
33rd St,4/6/<6>
34th St – Herald Square,B/D/F/M
34th St – Herald Square,N/Q/R
34th St – Hudson Yards,7/<7>
34th St – Penn Station,A/C/E
34th St – Penn Station,1/2/03
42nd St – Bryant Park,B/D/F/M
42nd St – Port Authority Bus Terminal,A/C/E
47th–50th Sts – Rockefeller Center,B/D/F/M
49th St,N/Q/R
50th St,A/C/E
50th St,1/2
51st St,4/6/<6>
57th St,F
57th St – Seventh Avenue,N/Q/R
59th St,4/5/6/<6>
59th St – Columbus Circle,A/B/C/D
59th St – Columbus Circle,1/2
66th St – Lincoln Center,1/2
68th St – Hunter College,4/6/<6>
72nd St,A/B/C
72nd St,1/2/3
77th St,4/6/<6>
79th St,1/2
81st St – Museum of Natural History,A/B/C
86th St,A/B/C
86th St,1/2
86th St,4/5/6/<6>
96th St,A/B/C
96th St,1/2/03
96th St,4/6/<6>
103rd St,A/B/C
103rd St,1
103rd St,4/6/<6>
110th St,4/6/<6>
116th St,A/B/C
116th St,2/3
116th St,4/6/<6>
116th St – Columbia University,1
125th St,A/B/C/D
125th St,1
125th St,2/3
125th St,4/5/6/<6>
135th St,A/B/C
135th St,2/3
137th St – City College,1
145th St,A/B/C/D
145th St,1
145th St,3
155th St,A/C
155th St‡,B/D
157th St,1
163rd St – Amsterdam Avenue,A/C
168th St,A/C
168th St,1
175th St,A
181st St,A
181st St,1
190th St,A
191st St,1
207th St,1
215th St,1
Astor Place,4/6/<6>
Bleecker St,4/6/<6>
Bowery,J/Z
Bowling Green,4/5
Broad St,J/Z
Broadway – Lafayette St,B/D/F/M
Brooklyn Bridge – City Hall,4/5/6/<6>
Canal St,A/C/E
Canal St,N/R
Canal St,N/Q
Canal St,1/2
Canal St,4/6/<6>
Canal St,J/Z
Cathedral Parkway – 110th St,A/B/C
Cathedral Parkway – 110th St,1
Central Park North – 110th St,2/3
Chambers St,A/C
Chambers St,1/2/3
Chambers St,J/Z
Christopher St – Sheridan Square,1/2
City Hall,N/R
Cortlandt St,N/R
Cortlandt St,?
Delancey St,F
Dyckman St,A
Dyckman St,1
East Broadway,F
Essex St,J/M/Z
Franklin St,1/2
Fulton St,2/3
Fulton St,4/5
Fulton St,A/C
Fulton St,J/Z
Grand Central – 42nd St,4/5/6/<6>
Grand Central,S
Grand Central,7/<7>
Grand St,B/D
Harlem – 148th St,3
Houston St,1/2
Inwood – 207th St,A
Lexington Avenue / 53rd St,E/M
Lexington Avenue / 59th St,N/Q/R
Lexington Avenue – 63rd St,F
Marble Hill – 225th St,1
Park Place,2/3
Prince St,N/Q/R
Rector St,N/R
Rector St,1
Roosevelt Island,F
South Ferry,1
Spring St,A/C/E
Spring St,4/6/<6>
Times Square,S
Times Square,7/<7>
Times Square – 42nd St,N/Q/R
Times Square – 42nd St,1/2/03
Wall St,2/3
Wall St,4/5
West Fourth St – Washington Square,A/B/C/D/E/F/M
Whitehall St – South Ferry,N/R
World Trade Center,E
